nama_makanan,daftar_bahan
Nasi Putih,"beras, air"
Sayur Lodeh,"daun melinjo, tauge, buah melinjo, labu siam, wortel, kacang panjang, jagung manis, cabe hijau, garam, gula, air, bawang merah, bawang putih, kemiri, ketumbar, terasi"
Sayur Asem,"daun melinjo, waluh, buah melinjo, kacang tanah, kacang panjang, jagung manis, bawang putih, bawang merah, kemiri, cabe merah, daun salam, lengkuas, gula, garam, penyedap, belimbing wuluh"
Ayam Goreng Lengkuas,"ayam, lengkuas, air, bawang putih, bawang merah, ketumbar, kemiri, lada, kunyit, jahe, garam, gula, serai, daun salam, daun jeruk"
Telur Barendo,"telur, bawang merah, daun bawang, garam, kaldu, cabe rawit"
Lele Goreng Crispy,"ikan lele, tepung terigu, tepung beras, bawang putih, bawang merah, ketumbar, garam, air, minyak goreng"
Tempe Orek,"tempe, cabe merah, bawang merah, bawang putih, garam, kecap, saus tiram"
Mie Goreng,"mie telur, bawang putih, bawang merah, cabe merah, sawi hijau, telur, kecap manis, garam, merica, minyak goreng"
Sambal Terasi,"terasi, cabe merah, bawang merah, bawang putih, tomat, garam, gula"
Sayur Sop,"wortel, buncis, kol, daun bawang, bawang putih, bawang merah, garam, merica, kaldu bubuk, air"
Ayam Balado,"ayam, ketumbar, bawang merah, bawang putih, cabe merah, tomat, garam, gula, air"
Telur Dadar Padang,"telur, bawang merah, cabe merah, daun bawang, daun kunyit, tepung beras, garam, merica"
Ikan Nila Goreng,"ikan nila, bawang putih, bawang merah, garam, kunyit, air, minyak goreng"
Bihun Goreng,"bihun, wortel, telur, saus tiram, kecap manis, daun bawang, air, bawang putih, bawang merah, cabe merah"
Sayur Gulai Nangka,"nangka muda, santan, cabe merah, bawang merah, bawang putih, lengkuas, daun salam, garam, gula"
Terong Balado,"terong, cabe merah, bawang merah, bawang putih, tomat, garam, gula"
Rendang Ayam,"ayam, santan, garam, ketumbar, jahe, lengkuas, jeruk nipis, bawang merah, bawang putih, cabe merah, daun salam, serai, jinten, cengkeh, buah pala, kayu manis, kapulaga, bunga lawang, daun kunyit, daun jeruk, daun salam"
Ikan Kembung Balado,"ikan kembung, cabe merah, bawang merah, bawang putih, tomat, garam, gula, minyak goreng"
Kwetiauw Goreng,"kwetiauw, bawang putih, bawang merah, telur, sawi hijau, kecap manis, saus tiram, garam, merica, minyak goreng"
Sayur Bayam Jagung,"bayam, jagung manis, bawang putih, bawang merah, garam, merica, air"
Ayam Mentega,"ayam, bawang putih, bawang merah, bawang bombay, kecap manis, saus tiram, merica, garam, mentega"
Ikan Patin Acar Kuning,"ikan patin, serai, gula, garam, merica, timun, wortel, air, minyak goreng, jeruk nipis, bawang merah, bawang putih, kemiri, kunyit, jahe"
Kimlo,"bihun, wortel, jamur kuping, daun bawang, air, garam, lada, kaldu jamur, minyak goreng, bawang bombay, bawang merah, bawang putih"
Tumis Daun Singkong,"daun singkong, daun salam, bawang merah, bawang putih, cabe merah, terasi, garam, gula, air, rebon kering, minyak goreng"
Tumis Jantung Pisang,"jantung pisang, ikan teri, daun salam, lengkuas, gula, garam, kaldu, bawang merah, bawang putih, cabe merah"
Ayam Lada Hitam,"ayam, tepung maizena, baking soda, garam, kaldu jamur, lada putih, air, kecap manis, saus tiram, saus sambal, saus tomat, lada hitam, air, garam, paprika, bawang bombay, bawang putih"
Soto Lamongan,"nasi, ayam, kol, soun, tomat, jeruk nipis, kerupuk udang, koya, telur rebus, daun bawang, daun sledri, bawang goreng"
Soto Sulung,"nasi, daging sapi, kol, soun, tomat, jeruk nipis, kerupuk udang, koya, telur rebus, daun bawang, daun sledri, bawang goreng"
Nasi Goreng Sei Sapi,"nasi, daging sapi, bawang putih, bawang merah, cabe merah, telur, kecap manis, garam, merica, minyak goreng, bayam"
Ayam Sedap Wangi,"nasi, ayam lengkuas, tempe orek"


